Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benzene,Status,toluene,Status,ethylbenzene,Status,,,o-xylene,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benzene,Status,toluene,Status,ethylbenzene,Status,,,o-xylene,Status
01/01/2016,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788049,V ugm-3,1.032777,V ugm-3,0.167474,V ugm-3,,,0.339354,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.381518,V ugm-3,2.719646,V ugm-3,0.453942,V ugm-3,,,0.700745,V ugm-3
01/01/2016,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784806,V ugm-3,1.078678,V ugm-3,0.22036,V ugm-3,,,0.387834,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.919856,V ugm-3,3.779199,V ugm-3,0.533271,V ugm-3,,,0.863811,V ugm-3
01/01/2016,03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813993,V ugm-3,1.028952,V ugm-3,0.163066,V ugm-3,,,0.202731,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.177209,V ugm-3,2.057904,V ugm-3,0.282061,V ugm-3,,,0.586158,V ugm-3
01/01/2016,04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930741,V ugm-3,1.201081,V ugm-3,0.202731,V ugm-3,,,0.423091,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.144779,V ugm-3,1.939326,V ugm-3,0.339354,V ugm-3,,,0.304097,V ugm-3
01/01/2016,05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765348,V ugm-3,0.971575,V ugm-3,0.158659,V ugm-3,,,0.198324,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989115,V ugm-3,2.168832,V ugm-3,0.370205,V ugm-3,,,0.568529,V ugm-3
01/01/2016,06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674544,V ugm-3,0.891248,V ugm-3,0.14103,V ugm-3,,,0.198324,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,,,No data,V ugm-3
01/01/2016,07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658329,V ugm-3,0.787971,V ugm-3,0.149845,V ugm-3,,,0.14103,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719946,V ugm-3,1.212557,V ugm-3,0.339354,V ugm-3,,,0.304097,V ugm-3
01/01/2016,08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655086,V ugm-3,0.650267,V ugm-3,0.114587,V ugm-3,,,0.158659,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.242069,V ugm-3,2.325661,V ugm-3,0.423091,V ugm-3,,,0.647858,V ugm-3
01/01/2016,09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642114,V ugm-3,0.918024,V ugm-3,0.22036,V ugm-3,,,0.246803,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122078,V ugm-3,2.66227,V ugm-3,0.370205,V ugm-3,,,0.727188,V ugm-3
01/01/2016,10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732918,V ugm-3,1.036602,V ugm-3,0.171881,V ugm-3,,,0.202731,V ugm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619413,V ugm-3,1.082503,V ugm-3,0.273246,V ugm-3,,,0.233582,V ugm-3
