Date,Time,benzene,Status
01/01/1996,01:00:00,14.5,V ugm-3
01/01/1996,02:00:00,16.28,V ugm-3
01/01/1996,03:00:00,24.28,V ugm-3
01/01/1996,04:00:00,16.97,V ugm-3
01/01/1996,05:00:00,14.46,V ugm-3
01/01/1996,06:00:00,23.56,V ugm-3
01/01/1996,07:00:00,15.93,V ugm-3
01/01/1996,08:00:00,16.35,V ugm-3
01/01/1996,09:00:00,17.78,V ugm-3
01/01/1996,10:00:00,14.24,V ugm-3
01/01/1996,11:00:00,14.04,V ugm-3
01/01/1996,12:00:00,15.89,V ugm-3
01/01/1996,13:00:00,17.13,V ugm-3
01/01/1996,14:00:00,17.62,V ugm-3
01/01/1996,15:00:00,18.46,V ugm-3
01/01/1996,16:00:00,17,V ugm-3
01/01/1996,17:00:00,16.58,V ugm-3
01/01/1996,18:00:00,20.18,V ugm-3
01/01/1996,19:00:00,16.9,V ugm-3
01/01/1996,20:00:00,16.22,V ugm-3
01/01/1996,21:00:00,13.29,V ugm-3
01/01/1996,22:00:00,12.42,V ugm-3
01/01/1996,23:00:00,13.42,V ugm-3
01/01/1996,24:00:00,8.78,V ugm-3
02/01/1996,01:00:00,No data,V ugm-3
02/01/1996,02:00:00,8.32,V ugm-3
02/01/1996,03:00:00,5.98,V ugm-3
02/01/1996,04:00:00,5.56,V ugm-3
02/01/1996,05:00:00,4.94,V ugm-3
02/01/1996,06:00:00,5.92,V ugm-3
02/01/1996,07:00:00,7.15,V ugm-3
02/01/1996,08:00:00,8.48,V ugm-3
02/01/1996,09:00:00,10.37,V ugm-3
02/01/1996,10:00:00,12.16,V ugm-3
02/01/1996,11:00:00,9.04,V ugm-3
02/01/1996,12:00:00,10.69,V ugm-3
02/01/1996,13:00:00,11.18,V ugm-3
02/01/1996,14:00:00,9.46,V ugm-3
02/01/1996,15:00:00,9.1,V ugm-3
02/01/1996,16:00:00,10.43,V ugm-3
02/01/1996,17:00:00,9.36,V ugm-3
02/01/1996,18:00:00,9.98,V ugm-3
02/01/1996,19:00:00,12.35,V ugm-3
02/01/1996,20:00:00,16.71,V ugm-3
02/01/1996,21:00:00,12.68,V ugm-3
02/01/1996,22:00:00,8.13,V ugm-3
02/01/1996,23:00:00,6.99,V ugm-3
02/01/1996,24:00:00,8.61,V ugm-3
03/01/1996,01:00:00,6.92,V ugm-3
03/01/1996,02:00:00,5.95,V ugm-3
03/01/1996,03:00:00,4.94,V ugm-3
03/01/1996,04:00:00,4.97,V ugm-3
03/01/1996,05:00:00,5.98,V ugm-3
03/01/1996,06:00:00,4.65,V ugm-3
03/01/1996,07:00:00,4.78,V ugm-3
03/01/1996,08:00:00,6.34,V ugm-3
03/01/1996,09:00:00,7.41,V ugm-3
03/01/1996,10:00:00,8.52,V ugm-3
03/01/1996,11:00:00,8.58,V ugm-3
03/01/1996,12:00:00,8.13,V ugm-3
03/01/1996,13:00:00,6.57,V ugm-3
03/01/1996,14:00:00,5.53,V ugm-3
03/01/1996,15:00:00,5.07,V ugm-3
03/01/1996,16:00:00,5.4,V ugm-3
03/01/1996,17:00:00,4.58,V ugm-3
03/01/1996,18:00:00,5.23,V ugm-3
03/01/1996,19:00:00,4.97,V ugm-3
03/01/1996,20:00:00,4.97,V ugm-3
03/01/1996,21:00:00,4.36,V ugm-3
03/01/1996,22:00:00,4.13,V ugm-3
03/01/1996,23:00:00,4.29,V ugm-3
03/01/1996,24:00:00,No data,V ugm-3
04/01/1996,01:00:00,4.52,V ugm-3
04/01/1996,02:00:00,3.67,V ugm-3
04/01/1996,03:00:00,4.03,V ugm-3
04/01/1996,04:00:00,3.54,V ugm-3
04/01/1996,05:00:00,3.74,V ugm-3
04/01/1996,06:00:00,3.9,V ugm-3
04/01/1996,07:00:00,4.62,V ugm-3
04/01/1996,08:00:00,5.46,V ugm-3
04/01/1996,09:00:00,6.96,V ugm-3
04/01/1996,10:00:00,6.27,V ugm-3
04/01/1996,11:00:00,5.04,V ugm-3
04/01/1996,12:00:00,4.75,V ugm-3
04/01/1996,13:00:00,4.42,V ugm-3
04/01/1996,14:00:00,5.49,V ugm-3
04/01/1996,15:00:00,4.84,V ugm-3
04/01/1996,16:00:00,6.21,V ugm-3
04/01/1996,17:00:00,5.92,V ugm-3
04/01/1996,18:00:00,6.37,V ugm-3
04/01/1996,19:00:00,6.05,V ugm-3
04/01/1996,20:00:00,6.83,V ugm-3
04/01/1996,21:00:00,6.27,V ugm-3
04/01/1996,22:00:00,4.58,V ugm-3
04/01/1996,23:00:00,4.39,V ugm-3
04/01/1996,24:00:00,4.52,V ugm-3
05/01/1996,01:00:00,4.1,V ugm-3
05/01/1996,02:00:00,3.67,V ugm-3
05/01/1996,03:00:00,3.25,V ugm-3
05/01/1996,04:00:00,3.06,V ugm-3
05/01/1996,05:00:00,3.19,V ugm-3
05/01/1996,06:00:00,3.48,V ugm-3
05/01/1996,07:00:00,4.62,V ugm-3
05/01/1996,08:00:00,5.14,V ugm-3
05/01/1996,09:00:00,5.85,V ugm-3
05/01/1996,10:00:00,13.26,V ugm-3
05/01/1996,11:00:00,12.29,V ugm-3
05/01/1996,12:00:00,4.62,V ugm-3
05/01/1996,13:00:00,6.92,V ugm-3
05/01/1996,14:00:00,5.59,V ugm-3
05/01/1996,15:00:00,5.53,V ugm-3
05/01/1996,16:00:00,5.95,V ugm-3
05/01/1996,17:00:00,7.28,V ugm-3
05/01/1996,18:00:00,8.48,V ugm-3
05/01/1996,19:00:00,10.6,V ugm-3
05/01/1996,20:00:00,9.69,V ugm-3
05/01/1996,21:00:00,11.7,V ugm-3
05/01/1996,22:00:00,18.46,V ugm-3
05/01/1996,23:00:00,No data,V ugm-3
05/01/1996,24:00:00,17.52,V ugm-3
06/01/1996,01:00:00,10.86,V ugm-3
06/01/1996,02:00:00,13.26,V ugm-3
06/01/1996,03:00:00,14.01,V ugm-3
06/01/1996,04:00:00,9.56,V ugm-3
06/01/1996,05:00:00,11.77,V ugm-3
06/01/1996,06:00:00,10.73,V ugm-3
06/01/1996,07:00:00,4.42,V ugm-3
06/01/1996,08:00:00,2.76,V ugm-3
06/01/1996,09:00:00,2.67,V ugm-3
06/01/1996,10:00:00,3.06,V ugm-3
06/01/1996,11:00:00,3.71,V ugm-3
06/01/1996,12:00:00,4.42,V ugm-3
06/01/1996,13:00:00,4.29,V ugm-3
06/01/1996,14:00:00,4.88,V ugm-3
06/01/1996,15:00:00,4.32,V ugm-3
06/01/1996,16:00:00,4.68,V ugm-3
06/01/1996,17:00:00,4.81,V ugm-3
06/01/1996,18:00:00,4.65,V ugm-3
06/01/1996,19:00:00,4.97,V ugm-3
06/01/1996,20:00:00,5.43,V ugm-3
06/01/1996,21:00:00,3.9,V ugm-3
06/01/1996,22:00:00,5.27,V ugm-3
06/01/1996,23:00:00,4.45,V ugm-3
06/01/1996,24:00:00,3.74,V ugm-3
07/01/1996,01:00:00,3.41,V ugm-3
07/01/1996,02:00:00,3.12,V ugm-3
07/01/1996,03:00:00,2.63,V ugm-3
07/01/1996,04:00:00,2.41,V ugm-3
07/01/1996,05:00:00,2.76,V ugm-3
07/01/1996,06:00:00,1.66,V ugm-3
07/01/1996,07:00:00,1.27,V ugm-3
07/01/1996,08:00:00,1.2,V ugm-3
07/01/1996,09:00:00,1.3,V ugm-3
07/01/1996,10:00:00,1.24,V ugm-3
07/01/1996,11:00:00,1.56,V ugm-3
07/01/1996,12:00:00,2.02,V ugm-3
07/01/1996,13:00:00,2.47,V ugm-3
07/01/1996,14:00:00,2.86,V ugm-3
07/01/1996,15:00:00,3.45,V ugm-3
07/01/1996,16:00:00,4.06,V ugm-3
07/01/1996,17:00:00,4.26,V ugm-3
07/01/1996,18:00:00,4.52,V ugm-3
07/01/1996,19:00:00,4.65,V ugm-3
07/01/1996,20:00:00,4.81,V ugm-3
07/01/1996,21:00:00,3.77,V ugm-3
07/01/1996,22:00:00,No data,V ugm-3
07/01/1996,23:00:00,4.84,V ugm-3
07/01/1996,24:00:00,3.71,V ugm-3
08/01/1996,01:00:00,3.12,V ugm-3
08/01/1996,02:00:00,1.82,V ugm-3
08/01/1996,03:00:00,1.3,V ugm-3
08/01/1996,04:00:00,1.07,V ugm-3
08/01/1996,05:00:00,1.2,V ugm-3
08/01/1996,06:00:00,1.11,V ugm-3
08/01/1996,07:00:00,1.59,V ugm-3
08/01/1996,08:00:00,3.06,V ugm-3
08/01/1996,09:00:00,3.77,V ugm-3
08/01/1996,10:00:00,4.52,V ugm-3
08/01/1996,11:00:00,4.23,V ugm-3
08/01/1996,12:00:00,2.63,V ugm-3
08/01/1996,13:00:00,2.57,V ugm-3
08/01/1996,14:00:00,2.28,V ugm-3
08/01/1996,15:00:00,2.54,V ugm-3
08/01/1996,16:00:00,2.76,V ugm-3
08/01/1996,17:00:00,3.74,V ugm-3
08/01/1996,18:00:00,3.45,V ugm-3
08/01/1996,19:00:00,3.71,V ugm-3
08/01/1996,20:00:00,3.51,V ugm-3
08/01/1996,21:00:00,2.47,V ugm-3
08/01/1996,22:00:00,2.05,V ugm-3
08/01/1996,23:00:00,1.98,V ugm-3
08/01/1996,24:00:00,1.59,V ugm-3
09/01/1996,01:00:00,1.63,V ugm-3
09/01/1996,02:00:00,1.4,V ugm-3
09/01/1996,03:00:00,1.2,V ugm-3
09/01/1996,04:00:00,1.17,V ugm-3
09/01/1996,05:00:00,1.37,V ugm-3
09/01/1996,06:00:00,1.46,V ugm-3
