Date,Time,benzene,Status
01/01/1999,01:00:00,4.16,V ugm-3
01/01/1999,02:00:00,5.79,V ugm-3
01/01/1999,03:00:00,5.07,V ugm-3
01/01/1999,04:00:00,3.74,V ugm-3
01/01/1999,05:00:00,3.38,V ugm-3
01/01/1999,06:00:00,2.7,V ugm-3
01/01/1999,07:00:00,2.37,V ugm-3
01/01/1999,08:00:00,1.98,V ugm-3
01/01/1999,09:00:00,1.43,V ugm-3
01/01/1999,10:00:00,1.27,V ugm-3
01/01/1999,11:00:00,1.46,V ugm-3
01/01/1999,12:00:00,1.53,V ugm-3
01/01/1999,13:00:00,1.37,V ugm-3
01/01/1999,14:00:00,1.24,V ugm-3
01/01/1999,15:00:00,1.59,V ugm-3
01/01/1999,16:00:00,1.92,V ugm-3
01/01/1999,17:00:00,2.31,V ugm-3
01/01/1999,18:00:00,2.44,V ugm-3
01/01/1999,19:00:00,2.57,V ugm-3
01/01/1999,20:00:00,2.34,V ugm-3
01/01/1999,21:00:00,1.92,V ugm-3
01/01/1999,22:00:00,1.85,V ugm-3
01/01/1999,23:00:00,1.89,V ugm-3
01/01/1999,24:00:00,1.4,V ugm-3
02/01/1999,01:00:00,1.2,V ugm-3
02/01/1999,02:00:00,1.07,V ugm-3
02/01/1999,03:00:00,0.85,V ugm-3
02/01/1999,04:00:00,0.78,V ugm-3
02/01/1999,05:00:00,0.78,V ugm-3
02/01/1999,06:00:00,0.72,V ugm-3
02/01/1999,07:00:00,No data,V ugm-3
02/01/1999,08:00:00,0.94,V ugm-3
02/01/1999,09:00:00,1.11,V ugm-3
02/01/1999,10:00:00,1.5,V ugm-3
02/01/1999,11:00:00,1.53,V ugm-3
02/01/1999,12:00:00,1.53,V ugm-3
02/01/1999,13:00:00,1.66,V ugm-3
02/01/1999,14:00:00,1.82,V ugm-3
02/01/1999,15:00:00,1.69,V ugm-3
02/01/1999,16:00:00,2.37,V ugm-3
02/01/1999,17:00:00,2.11,V ugm-3
02/01/1999,18:00:00,3.09,V ugm-3
02/01/1999,19:00:00,2.34,V ugm-3
02/01/1999,20:00:00,5.27,V ugm-3
02/01/1999,21:00:00,4.81,V ugm-3
02/01/1999,22:00:00,2.5,V ugm-3
02/01/1999,23:00:00,2.02,V ugm-3
02/01/1999,24:00:00,1.63,V ugm-3
03/01/1999,01:00:00,1.76,V ugm-3
03/01/1999,02:00:00,1.76,V ugm-3
03/01/1999,03:00:00,1.37,V ugm-3
03/01/1999,04:00:00,1.43,V ugm-3
03/01/1999,05:00:00,1.79,V ugm-3
03/01/1999,06:00:00,1.04,V ugm-3
03/01/1999,07:00:00,1.04,V ugm-3
03/01/1999,08:00:00,0.88,V ugm-3
03/01/1999,09:00:00,0.88,V ugm-3
03/01/1999,10:00:00,0.94,V ugm-3
03/01/1999,11:00:00,1.14,V ugm-3
03/01/1999,12:00:00,1.82,V ugm-3
03/01/1999,13:00:00,1.33,V ugm-3
03/01/1999,14:00:00,1.82,V ugm-3
03/01/1999,15:00:00,2.18,V ugm-3
03/01/1999,16:00:00,2.28,V ugm-3
03/01/1999,17:00:00,4.81,V ugm-3
03/01/1999,18:00:00,4.16,V ugm-3
03/01/1999,19:00:00,3.77,V ugm-3
03/01/1999,20:00:00,3.06,V ugm-3
03/01/1999,21:00:00,3.48,V ugm-3
03/01/1999,22:00:00,2.93,V ugm-3
03/01/1999,23:00:00,2.54,V ugm-3
03/01/1999,24:00:00,1.24,V ugm-3
04/01/1999,01:00:00,1.14,V ugm-3
04/01/1999,02:00:00,0.88,V ugm-3
04/01/1999,03:00:00,0.81,V ugm-3
04/01/1999,04:00:00,0.62,V ugm-3
04/01/1999,05:00:00,0.52,V ugm-3
04/01/1999,06:00:00,No data,V ugm-3
04/01/1999,07:00:00,0.72,V ugm-3
04/01/1999,08:00:00,1.04,V ugm-3
04/01/1999,09:00:00,1.37,V ugm-3
04/01/1999,10:00:00,2.34,V ugm-3
04/01/1999,11:00:00,2.31,V ugm-3
04/01/1999,12:00:00,1.69,V ugm-3
04/01/1999,13:00:00,2.47,V ugm-3
04/01/1999,14:00:00,2.08,V ugm-3
04/01/1999,15:00:00,2.34,V ugm-3
04/01/1999,16:00:00,2.63,V ugm-3
04/01/1999,17:00:00,2.99,V ugm-3
