Date,Time,benzene,Status
24/01/1994,08:00:00,2.6,V ugm-3
24/01/1994,09:00:00,5.53,V ugm-3
24/01/1994,10:00:00,10.73,V ugm-3
24/01/1994,11:00:00,12.68,V ugm-3
24/01/1994,12:00:00,8.45,V ugm-3
24/01/1994,13:00:00,7.8,V ugm-3
24/01/1994,14:00:00,7.15,V ugm-3
24/01/1994,15:00:00,9.43,V ugm-3
24/01/1994,16:00:00,10.08,V ugm-3
24/01/1994,17:00:00,12.35,V ugm-3
24/01/1994,18:00:00,15.6,V ugm-3
24/01/1994,19:00:00,14.3,V ugm-3
24/01/1994,20:00:00,13.33,V ugm-3
24/01/1994,21:00:00,9.1,V ugm-3
24/01/1994,22:00:00,5.53,V ugm-3
24/01/1994,23:00:00,4.55,V ugm-3
24/01/1994,24:00:00,2.6,V ugm-3
25/01/1994,01:00:00,1.95,V ugm-3
25/01/1994,02:00:00,1.3,V ugm-3
25/01/1994,03:00:00,0.98,V ugm-3
25/01/1994,04:00:00,0.98,V ugm-3
25/01/1994,05:00:00,0.65,V ugm-3
25/01/1994,06:00:00,0.65,V ugm-3
25/01/1994,07:00:00,No data,V ugm-3
25/01/1994,08:00:00,2.93,V ugm-3
